COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur
26,"Rioja, La",2024,16451,34,350.0,402.7162162162162,481.2781593824084,52.716216216216196
27,Lugo,2011,7323,29,235.0,262.524064171123,301.35750375529153,27.524064171122973
27,Lugo,2012,7512,31,216.25,269.86979166666663,298.4218583599574,53.61979166666663
27,Lugo,2013,7631,30,212.6875,264.9253970465311,287.98060542523916,52.23789704653109
27,Lugo,2014,7947,30,214.0,258.76276595744685,287.3042657606644,44.762765957446845
27,Lugo,2015,8601,33,220.0,255.14285714285714,282.86850366236484,35.14285714285714
27,Lugo,2016,9105,33,224.0,272.3076923076923,290.20691927512354,48.30769230769232
27,Lugo,2017,9661,36,227.66666666666666,275.0634328358209,296.1747231135493,47.39676616915423
27,Lugo,2018,10412,38,231.6549295774648,276.875,299.50316941990013,45.2200704225352
27,Lugo,2019,11281,40,242.671875,285.9090719644346,316.098395532311,43.23719696443459
27,Lugo,2020,11876,43,240.08620689655174,292.36805555555554,320.6980464802964,52.2818486590038
27,Lugo,2021,12380,46,250.0,299.22222222222223,323.95500807754445,49.22222222222223
27,Lugo,2022,12837,48,250.0,302.4545240503007,338.63986912830103,52.45452405030068
27,Lugo,2023,13636,47,259.17073170731703,311.554347826087,352.42864476386035,52.383616118769964
27,Lugo,2024,14415,50,274.73399014778323,331.6035954063604,367.8738813735692,56.86960525857717
28,Madrid,2011,225146,141,438.0,595.0,673.3589715118188,157.0
28,Madrid,2012,244293,143,415.21706964994587,576.9508477060634,647.3059604655066,161.73377805611756
28,Madrid,2013,264616,142,400.0,550.5263321821645,615.1897957795447,150.52633218216454
28,Madrid,2014,290961,145,379.6078431372549,528.2758620689655,594.4006894394781,148.66801893171055
28,Madrid,2015,320005,150,382.1864485981308,523.7475963069086,594.7816221621537,141.56114770877775
28,Madrid,2016,348942,151,396.3429669496222,534.0141792489353,609.421826549971,137.67121229931308
28,Madrid,2017,378541,156,389.8685483870968,535.752435286461,622.766889187697,145.88388689936426
28,Madrid,2018,404168,155,400.0,557.5782051674912,648.4884058114447,157.5782051674912
28,Madrid,2019,421129,158,416.15293778801845,594.0686475409836,710.0636147118817,177.9157097529652
28,Madrid,2020,434762,160,423.053588120006,611.5428619544778,720.250964895736,188.48927383447176
28,Madrid,2021,450633,160,433.7157335907336,635.2834611376572,734.2731335698894,201.56772754692366
28,Madrid,2022,464915,162,454.47931555799886,651.7360374919199,765.1048019530451,197.25672193392103
28,Madrid,2023,484746,163,468.01346604215456,673.9636399165183,791.2327817042327,205.95017387436377
28,Madrid,2024,499787,163,482.5456370938299,710.1465922286479,831.0970173293823,227.60095513481804
29,Málaga,2011,25859,33,330.60674157303373,460.0,485.21176379597046,129.39325842696627
29,Málaga,2012,27811,33,353.0,455.5900621118012,463.65423753191186,102.59006211180122
29,Málaga,2013,30880,35,347.0,451.94227478796597,448.49216321243523,104.94227478796597
29,Málaga,2014,35338,34,327.45454545454544,438.57896631075613,447.00665006508575,111.12442085621069
29,Málaga,2015,39997,39,306.8579332402029,429.4380895043147,448.4157311798385,122.58015626411179
