COD_PROVINCIA,province_name,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,annual_mean_c,monthly_std_c,monthly_range_c,seasonal_range_c,annual_anomaly_c,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
01,Araba/Alava,5.259666666666668,5.957830188679245,8.165666666666668,10.196666666666664,13.442000000000004,16.857666666666667,18.766,19.273000000000003,16.905666666666665,13.704666666666666,8.65466666666667,6.065666666666667,5.755096011816842,10.60584420289855,18.314554347826085,13.095106227106225,11.968857455740098,4.98,14.01,12.559458336009243,-2.3320238111951923,35.9,3039.8155502621407,42.84685163200004,-2.681504930102382,1995,2024
20,Gipuzkoa,5.259666666666668,5.957830188679245,8.165666666666668,10.196666666666664,13.442000000000004,16.857666666666667,18.766,19.273000000000003,16.905666666666665,13.704666666666666,8.65466666666667,6.065666666666667,5.755096011816842,10.60584420289855,18.314554347826085,13.095106227106225,11.968857455740098,4.98,14.01,12.559458336009243,-2.3320238111951923,35.9,1978.7550067353454,43.143589420500064,-2.205139585800379,1995,2024
16,Cuenca,2.929666666666668,4.139103773584906,6.926333333333333,9.813,14.15466666666667,19.49466666666666,22.87066666666667,22.303666666666665,17.329333333333334,12.673000000000002,6.508666666666666,3.790333333333333,3.60397341211226,10.30327173913043,21.5787427536232,12.175857142857144,11.954189633144736,6.99,19.94,17.97476934151094,-2.346691633790554,35.7,17140.40618811931,39.93968445450005,-2.1524468968601638,1995,2024
26,"Rioja, La",4.219666666666666,5.174327830188678,7.770000000000001,10.178666666666668,13.86866666666667,17.950333333333333,20.198,20.47233333333333,17.081666666666667,13.359333333333336,7.656666666666669,5.025999999999998,4.795531757754801,10.610420289855073,19.5575036231884,12.706476190476184,11.949119364847602,5.78,16.25,14.761971865433598,-2.351761902087688,35.7,5046.828733862302,42.28327214700005,-2.4828031135403053,1995,2024
48,Bizkaia,5.273333333333333,5.990200471698114,8.148333333333335,10.120666666666668,13.279333333333334,16.676666666666666,18.546000000000006,19.045,16.73933333333333,13.609666666666664,8.586666666666666,6.072333333333334,5.772215657311669,10.520409420289855,18.104576086956524,12.985490842490842,11.87137342580762,4.89,13.77,12.332360429644854,-2.42950784112767,34.7,2212.1243508020907,43.23917273750004,-2.8511295597341766,1995,2024
32,Ourense,4.357666666666667,5.2118396226415085,7.437333333333335,9.725333333333332,13.006333333333334,17.412000000000003,20.801333333333336,20.99966666666667,17.48,12.809666666666669,7.495999999999999,5.012333333333333,4.849977843426881,10.059931159420293,19.762945652173908,12.597578754578754,11.8485371418142,5.91,16.64,14.912967808747027,-2.4523441251210905,34.4,7274.005064288531,42.19269801600004,-7.536621236336593,1995,2024
40,Segovia,2.820333333333334,3.9414268867924527,6.6610000000000005,9.425333333333333,13.529999999999996,18.703,21.944,22.00500000000001,17.422,12.504,6.449333333333334,3.697,3.4724704579025114,9.876967391304351,20.907706521739133,12.129274725274728,11.63369866764008,6.82,19.18,17.435236063836623,-2.6671825992952094,31.7,6925.051537684477,41.10883397450005,-4.183805510118308,1995,2024
05,Avila,2.3543333333333334,3.409233490566038,6.016333333333333,8.839666666666666,13.111,18.56266666666667,22.07466666666667,21.89466666666666,16.99833333333334,11.938666666666668,5.88,3.274,3.0005096011816823,9.327579710144928,20.868797101449267,11.609326007326008,11.239353896696477,7.0,19.72,17.868287500267584,-3.0615273702388137,26.6,8051.924472669341,40.62552329400006,-4.835890534161348,1995,2024
44,Teruel,2.591333333333333,3.470129716981132,6.183,9.000000000000002,13.269666666666668,18.464333333333336,21.702333333333325,21.124333333333325,16.249999999999996,11.969666666666663,6.027333333333334,3.4233333333333333,3.152256277695717,9.489485507246377,20.451702898550725,11.421754578754584,11.16584960759262,6.73,19.11,17.299446620855008,-3.135031659342671,25.7,14808.680723282137,40.59881203300006,-0.9214764144525668,1995,2024
42,Soria,2.266,3.437900943396226,6.204999999999998,9.039333333333332,13.125666666666667,18.04133333333333,21.09933333333333,20.868,16.303,11.769000000000002,5.770666666666667,3.0596666666666663,2.9055428360413584,9.461202898550724,20.024210144927544,11.286252747252744,10.956325971892689,6.66,18.83,17.118667308886184,-3.3445552950426016,23.0,10304.321207640402,41.60141172000005,-2.72147948535578,1995,2024
