rank_tech,COD_PROVINCIA,province_name,ccaa,recommendation,tech_destination_index,index_class,rent_eur_month,mobility_score,mobility_label,transport_nodes,weighted_transport_nodes,high_speed_nodes,long_distance_nodes,medium_distance_nodes,av_ld_md_nodes,cercanias_nodes,feve_nodes,airport_nodes,nodes_per_100k,nearest_strategic_km,nearest_strategic_label,strategic_access_score,node_mass_score,node_density_score,rental_homes,rental_homes_per_1000_households,municipalities,coverage_1gbps_2024_pct,annual_mean_c,precipitation_annual_mm,temperature_comfort_score,rain_comfort_score,climate_comfort_score,rent_score_low_price,availability_score,connectivity_score,climate_score,rent_contribution,mobility_contribution,connectivity_contribution,climate_contribution,population,households,label_lat,label_lon,area_km2,year
34,40,Segovia,CASTILLA Y LEÓN,Revisar trade-offs,69.17,Quintil 2 - equilibrio medio-bajo,496.38,52.34,52.3 / 100,11,21.0,1,1,8,10,1,0,0,13.53,21.69,22 km,78.31,34.79,24.62,8456,133.48,42,89.42,11.63,496.68,31.67,97.75,51.49,72.26,55.04,89.42,51.49,29.75,12.32,21.04,6.06,155258,63348,41.12479177074759,-4.052209788210108,6925.1,2024
35,37,Salamanca,CASTILLA Y LEÓN,Revisar trade-offs,69.08,Quintil 2 - equilibrio medio-bajo,483.82,49.28,49.3 / 100,15,31.0,0,2,12,14,0,0,1,9.48,31.03,31 km,68.97,42.44,16.95,19023,133.02,34,84.08,12.71,581.87,45.31,87.75,58.04,74.97,54.72,84.08,58.04,30.87,11.6,19.78,6.83,327170,143005,40.811023629999404,-5.965368675745766,12351.3,2024
36,42,Soria,CASTILLA Y LEÓN,Revisar trade-offs,69.01,Quintil 2 - equilibrio medio-bajo,493.05,60.17,60.2 / 100,8,16.0,0,0,8,8,0,0,0,17.88,3.86,4 km,96.14,29.53,32.87,4305,113.38,15,82.57,10.96,464.7,23.04,98.5,45.68,72.98,41.2,82.57,45.68,30.05,14.16,19.43,5.37,89482,37969,41.57446674954193,-2.6009897431217834,10304.3,2024
37,46,Valencia/Valéncia,COMUNITAT VALENCIANA,Revisar trade-offs,68.87,Quintil 2 - equilibrio medio-bajo,590.98,58.3,58.3 / 100,83,120.0,3,3,29,35,47,0,1,4.52,27.93,28 km,72.07,69.59,7.56,149388,145.06,197,97.09,16.6,387.28,94.85,89.41,93.22,51.84,63.01,97.09,93.22,21.34,13.72,22.84,10.97,2656291,1029839,39.34212139137375,-0.7464753127839965,10810.5,2024
38,11,Cádiz,ANDALUCÍA,Revisar trade-offs,68.36,Quintil 2 - equilibrio medio-bajo,580.42,56.71,56.7 / 100,51,76.0,0,6,15,21,28,0,2,6.08,25.6,26 km,74.4,60.36,10.52,35437,75.77,37,92.67,17.51,550.31,93.55,91.45,92.92,54.12,15.29,92.67,92.92,22.28,13.34,21.8,10.93,1250539,467661,36.464487746370104,-5.915284391484333,7439.9,2024
39,41,Sevilla,ANDALUCÍA,Revisar trade-offs,67.8,Quintil 2 - equilibrio medio-bajo,606.23,61.87,61.9 / 100,47,73.0,1,1,22,24,22,0,1,3.73,11.51,12 km,88.49,59.55,6.07,62498,86.42,89,97.27,18.25,498.05,84.05,97.59,88.11,48.54,22.62,97.27,88.11,19.99,14.56,22.89,10.37,1957210,723197,37.511316671148265,-5.832614061976623,14037.0,2024
40,52,Melilla,CIUDAD AUTÓNOMA DE MELILLA,Revisar trade-offs,65.41,Quintil 2 - equilibrio medio-bajo,582.92,45.44,45.4 / 100,1,3.0,0,0,0,0,0,0,1,3.51,1.52,2 km,98.48,0.0,5.65,3161,126.4,1,98.08,18.88,425.82,76.07,93.94,81.43,53.58,50.16,98.08,81.43,22.06,10.69,23.08,9.58,85491,25008,35.29314901881256,-2.9515160587644482,13.5,2024
41,31,Navarra,NAVARRA (COMUNIDAD FORAL),Revisar trade-offs,63.71,Quintil 2 - equilibrio medio-bajo,595.36,60.36,60.4 / 100,22,43.0,0,5,14,19,2,0,1,6.4,8.88,9 km,91.12,48.94,11.13,24534,99.33,82,94.1,12.59,652.86,43.83,79.42,54.5,50.89,31.52,94.1,54.5,20.95,14.2,22.14,6.41,671746,246994,42.59272863731215,-1.7295697811784854,10390.7,2024
42,38,Santa Cruz de Tenerife,CANARIAS,Revisar trade-offs,63.11,Quintil 1 - equilibrio bajo,559.84,44.94,44.9 / 100,5,15.0,0,0,0,0,0,0,5,1.41,22.88,23 km,77.12,28.29,1.68,55876,140.92,53,89.22,20.24,250.92,58.72,73.41,63.13,58.56,60.16,89.22,63.13,24.11,10.57,20.99,7.43,1061790,396501,28.2523651334685,-16.588496144005177,3380.1,2024
43,35,"Palmas, Las",CANARIAS,Revisar trade-offs,62.53,Quintil 1 - equilibrio bajo,555.53,38.84,38.8 / 100,2,6.0,0,0,0,0,0,0,2,0.53,22.56,23 km,77.44,11.42,0.0,63030,150.03,32,92.84,20.26,164.38,58.47,63.26,59.9,59.49,66.44,92.84,59.9,24.5,9.14,21.84,7.05,1140258,420114,27.96421696570061,-15.606996139084105,4068.3,2024
44,29,Málaga,ANDALUCÍA,Revisar trade-offs,61.8,Quintil 1 - equilibrio bajo,687.45,66.65,66.7 / 100,43,73.0,3,3,22,28,14,0,1,4.17,1.28,1 km,98.72,59.55,6.9,72989,110.64,66,94.09,16.52,466.15,93.85,98.67,95.3,31.01,39.31,94.09,95.3,12.77,15.68,22.14,11.21,1751600,659692,36.83130101846306,-4.696871791674724,7311.5,2024
45,19,Guadalajara,CASTILLA-LA MANCHA,Revisar trade-offs,61.46,Quintil 1 - equilibrio bajo,575.67,47.54,47.5 / 100,14,26.0,1,1,10,12,2,0,0,9.47,32.2,32 km,67.8,38.97,16.94,15621,149.76,49,88.39,12.5,410.71,42.71,92.16,57.55,55.14,66.25,88.39,57.55,22.71,11.19,20.8,6.77,274598,104305,40.80386956555022,-2.50191032265401,12212.9,2024
46,51,Ceuta,CIUDAD AUTÓNOMA DE CEUTA,Revisar trade-offs,58.47,Quintil 1 - equilibrio bajo,649.41,44.13,44.1 / 100,1,3.0,0,0,0,0,0,0,1,3.61,4.53,5 km,95.47,0.0,5.85,2612,105.74,1,93.49,18.24,604.76,84.19,85.06,84.45,39.22,35.93,93.49,84.45,16.15,10.38,22.0,9.94,83039,24703,35.894461142812474,-5.356246067194933,20.0,2024
47,01,Araba/Álava,PAIS VASCO,Revisar trade-offs,53.6,Quintil 1 - equilibrio bajo,697.53,59.98,60.0 / 100,16,26.0,0,2,6,8,7,0,1,7.72,3.09,3 km,96.91,38.97,13.63,11117,78.89,21,97.55,11.97,918.81,35.93,48.21,39.62,28.83,17.44,97.55,39.62,11.87,14.11,22.95,4.66,336686,140925,42.85506231819567,-2.721629253773971,3039.8,2024
48,08,Barcelona,CATALUÑA,Revisar trade-offs,50.75,Quintil 1 - equilibrio bajo,779.0,68.21,68.2 / 100,124,147.0,1,1,17,19,103,0,2,2.53,7.43,7 km,92.57,73.7,3.8,394862,179.71,264,98.16,12.71,550.02,45.42,91.49,59.24,11.25,86.88,98.16,59.24,4.63,16.05,23.1,6.97,5805500,2197181,41.768106850921065,1.8895925595503902,7729.7,2024
49,07,"Balears, Illes",BALEARS (ILLES),Revisar trade-offs,49.02,Quintil 1 - equilibrio bajo,762.78,47.63,47.6 / 100,4,12.0,0,0,0,0,0,0,4,1.0,13.26,13 km,86.74,24.06,0.9,87703,198.76,66,92.46,18.54,516.45,80.36,95.43,84.88,14.75,100.0,92.46,84.88,6.07,11.21,21.76,9.99,1197261,441242,39.59624741457044,2.8818324185401147,4991.8,2024
50,48,Bizkaia,PAIS VASCO,Revisar trade-offs,48.1,Quintil 1 - equilibrio bajo,743.27,64.18,64.2 / 100,80,108.0,0,1,25,26,29,24,1,9.36,17.27,17 km,82.73,67.45,16.73,36648,75.82,77,87.21,11.87,891.06,34.69,51.47,39.72,18.96,15.32,87.21,39.72,7.81,15.1,20.52,4.67,1154306,483378,43.23686785807184,-2.716604977193986,2212.1,2024
51,28,Madrid,MADRID (COMUNIDAD DE),Revisar trade-offs,48.02,Quintil 1 - equilibrio bajo,831.1,71.46,71.5 / 100,131,188.0,2,4,47,53,76,0,2,2.74,4.27,4 km,95.73,78.69,4.19,499787,196.49,163,98.39,13.52,464.79,55.65,98.51,68.51,0.0,98.43,98.39,68.51,0.0,16.81,23.15,8.06,6859914,2543639,40.504725883575325,-3.8196486574177033,8030.4,2024
52,20,Gipuzkoa,PAIS VASCO,Revisar trade-offs,47.95,Quintil 1 - equilibrio bajo,770.73,65.22,65.2 / 100,44,69.0,0,4,19,23,20,0,1,9.48,8.04,8 km,91.96,58.42,16.96,40602,135.14,66,95.94,11.97,918.81,35.93,48.21,39.62,13.03,56.18,95.94,39.62,5.37,15.35,22.57,4.66,728027,300448,43.11955076975763,-2.2314986632822804,1978.8,2024
