COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year,lon,lat
44,Teruel,44037,Beceite,320.0,288.0,355.0,67.0,13,1,2024,0.19537229883833074,40.80700863100006
28,Madrid,28128,Rozas de Puerto Real,320.0,175.0,475.0,300.0,13,1,2024,-4.505517847511873,40.30093878400004
03,Alicante,03074,Granja de Rocamora,320.0,277.05555555555554,384.94444444444446,107.88888888888891,54,2,2024,-0.8692034038388761,38.15757815750007
16,Cuenca,16023,Chillarón de Cuenca,320.0,275.0,390.0,115.0,19,1,2024,-2.2105603277912316,40.11722975950005
24,León,24121,Puebla de Lillo,320.0,285.0,531.0,246.0,10,1,2024,-5.301850262482018,43.031201528000054
46,Valencia/Valéncia,46118,Enguera,320.0,271.5744680851064,387.25531914893617,115.68085106382978,141,2,2024,-0.7988162349410455,38.96411899900005
15,"Coruña, A",15055,Neda,319.6923076923077,233.07692307692307,390.0769230769231,157.00000000000003,130,2,2024,-8.127247554663928,43.49914469950005
05,Ávila,05021,"Barco de Ávila, El",319.49152542372883,280.0,368.3220338983051,88.32203389830511,118,2,2024,-5.519000164489677,40.35617649900004
16,Cuenca,16175,Quintanar del Rey,319.3333333333333,272.6666666666667,389.3333333333333,116.66666666666663,171,2,2024,-1.934015676882533,39.33369895550004
32,Ourense,32086,Viana do Bolo,319.3243243243243,256.14864864864865,384.9594594594595,128.81081081081084,74,2,2024,-7.058993110995052,42.15355024900006
15,"Coruña, A",15023,Cee,319.09859154929575,272.9267605633803,387.48169014084505,114.55492957746475,355,2,2024,-9.197718326023779,42.96346907500006
46,Valencia/Valéncia,46062,Benigánim,319.06976744186045,253.72093023255815,398.90697674418607,145.18604651162792,86,2,2024,-0.45195377992959457,38.950723170500055
39,Cantabria,39013,Cabezón de Liébana,319.0,292.0,423.0,131.0,11,1,2024,-4.543425457202506,43.12845951500006
24,León,24139,Sahagún,318.95604395604397,279.45054945054943,368.2087912087912,88.75824175824175,91,2,2024,-5.017225947041607,42.35095920800006
06,Badajoz,06052,Fuente de Cantos,318.85,253.15,370.225,117.07500000000002,40,2,2024,-6.267139021078894,38.22481399550006
15,"Coruña, A",15043,Malpica de Bergantiños,318.83720930232556,257.2674418604651,420.4767441860465,163.2093023255814,86,2,2024,-8.822950870381531,43.29787973300006
33,Asturias,33047,Peñamellera Baja,318.68,242.88,368.72,125.84000000000003,25,2,2024,-4.587959588966649,43.30415158300005
18,Granada,18050,Cogollos de la Vega,318.55172413793105,273.62068965517244,474.3448275862069,200.72413793103448,29,2,2024,-3.5636363876487405,37.29734171450005
32,Ourense,32032,Xinzo de Limia,318.46534653465346,264.7821782178218,371.0668316831683,106.28465346534648,404,2,2024,-7.740644476604716,42.04305831050007
15,"Coruña, A",15037,Fisterra,318.3380281690141,250.59154929577466,423.943661971831,173.35211267605632,71,2,2024,-9.26285796452743,42.93371073700007
18,Granada,18116,Lanjarón,318.3333333333333,245.55555555555554,401.0833333333333,155.52777777777777,72,2,2024,-3.460197385734669,36.95772949900004
33,Asturias,33033,Lena,318.26244343891403,252.5339366515837,396.63574660633486,144.10180995475116,442,2,2024,-5.791492850336885,43.081853306000056
13,Ciudad Real,13093,Villanueva de los Infantes,318.1578947368421,263.1578947368421,387.57894736842104,124.42105263157896,57,2,2024,-3.0504917015735016,38.72391324900005
27,Lugo,27902,Burela,318.1469594594595,272.9054054054054,367.7432432432432,94.83783783783781,592,2,2024,-7.368271106191417,43.657392261500036
40,Segovia,40024,Ayllón,318.1267605633803,247.2394366197183,430.15492957746477,182.91549295774647,71,2,2024,-3.352498955051437,41.36480229700004
34,Palencia,34098,Magaz de Pisuerga,318.0,300.0,399.0,99.0,18,1,2024,-4.4395252901671025,41.98456387900006
06,Badajoz,06902,Pueblonuevo del Guadiana,318.0,267.0,400.0,133.0,22,1,2024,-6.759593202906464,38.91590084550003
02,Albacete,02025,Caudete,317.96875,262.03125,382.09375,120.0625,256,2,2024,-1.0262621086644876,38.722917388500036
22,Huesca,22053,Benabarre,317.6808510638298,257.36170212765956,376.468085106383,119.10638297872345,47,2,2024,0.47127483978379225,42.08741913250006
10,Cáceres,10212,Villanueva de la Vera,317.632183908046,271.5632183908046,366.8045977011494,95.24137931034483,87,2,2024,-5.432552990280524,40.163855033500056
04,Almería,04086,Sorbas,317.2631578947368,245.26315789473685,407.5263157894737,162.26315789473685,38,2,2024,-2.1008197547453142,37.107765477000044
09,Burgos,09211,Melgar de Fernamental,317.09090909090907,265.1515151515151,436.75757575757575,171.60606060606062,33,2,2024,-4.272047883428677,42.43679246600004
21,Huelva,21025,Cortegana,317.0731707317073,276.9512195121951,391.8292682926829,114.8780487804878,82,2,2024,-6.987501479304093,37.80945999550005
18,Granada,18122,Loja,317.0440251572327,261.27672955974845,381.37106918238993,120.09433962264148,318,2,2024,-4.205536512002379,37.151435201000055
27,Lugo,27059,Sober,317.0,250.0,496.0,246.0,17,1,2024,-7.572291796564533,42.44184633650005
27,Lugo,27047,"Pobra do Brollón, A",317.0,250.0,456.0,206.0,10,1,2024,-7.358629031445756,42.549299281500055
15,"Coruña, A",15049,Moeche,317.0,250.0,461.0,211.0,22,1,2024,-7.9710092919173405,43.56259301350005
18,Granada,18168,Quéntar,317.0,254.0,449.0,195.0,10,1,2024,-3.395921455644662,37.22918328000006
46,Valencia/Valéncia,46231,Simat de la Valldigna,316.7088607594937,262.9746835443038,374.36708860759495,111.39240506329116,79,2,2024,-0.3354385862547372,39.04098954950004
15,"Coruña, A",15022,Cedeira,316.60833333333335,242.20833333333334,386.9916666666667,144.78333333333333,240,2,2024,-8.012915123536773,43.67748041950006
45,Toledo,45156,Santa Cruz de la Zarza,316.60215053763443,297.0430107526882,384.8817204301075,87.83870967741933,93,2,2024,-3.175043027202695,39.966501081000075
10,Cáceres,10105,Jarandilla de la Vera,316.6,253.04,372.6,119.56000000000003,125,2,2024,-5.647101400998361,40.09448005200005
06,Badajoz,06074,Llerena,316.2358974358974,264.2871794871795,369.4871794871795,105.19999999999999,195,2,2024,-6.0408666247091185,38.23675038050007
33,Asturias,33059,Salas,316.2313432835821,269.4776119402985,383.1194029850746,113.64179104477608,134,2,2024,-6.232620956778689,43.408225851000054
02,Albacete,02051,Montealegre del Castillo,316.1290322580645,266.2258064516129,426.19354838709677,159.96774193548384,31,2,2024,-1.2887930215506713,38.758369499000054
14,Córdoba,14029,Fuente Obejuna,316.0,275.0,388.0,113.0,16,1,2024,-5.4161741706644,38.28755114550006
16,Cuenca,16198,Sisante,316.0,250.0,400.0,150.0,28,1,2024,-2.169410392121509,39.39087102700006
18,Granada,18192,Zafarraya,316.0,294.0,356.0,62.0,16,1,2024,-4.151155508754716,36.99472483050005
41,Sevilla,41033,Constantina,316.0,261.0,364.5,103.5,80,2,2024,-5.596477376350933,37.84755620700005
32,Ourense,32034,"Gudiña, A",316.0,252.0,371.0,119.0,12,1,2024,-7.170935109157099,42.045088756500036
14,Córdoba,14050,Pedro Abad,315.76666666666665,275.93333333333334,352.93333333333334,77.0,30,2,2024,-4.4522469537251,37.97127390400004
13,Ciudad Real,13066,Pozuelo de Calatrava,315.55,257.125,402.875,145.75,120,2,2024,-3.8310162183901104,38.88013188900004
37,Salamanca,37008,Alba de Tormes,315.5398773006135,277.33742331288346,368.3680981595092,91.03067484662574,163,2,2024,-5.499350254725963,40.82475427600005
