CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
16301,FERROÑES,Cercanias,33,LLANERA,1.0,Renfe Data,43.4760338,-5.8616217
16302,CANCIENES,Cercanias,33,CORVERA DE ASTURIAS,1.0,Renfe Data,43.507333,-5.8692521
16400,NUBLEDO,Cercanias,33,CORVERA DE ASTURIAS,1.0,Renfe Data,43.5234229,-5.8703014
16401,VILLALEGRE,Cercanias,33,AVILÉS,1.0,Renfe Data,43.5400404,-5.9022308
16402,LA ROCICA,Cercanias,33,AVILÉS,1.0,Renfe Data,43.5471015,-5.9047083
16403,AVILÉS,Cercanias,33,AVILÉS,1.0,Renfe Data,43.561339,-5.9228329
16408,LOS CAMPOS,Cercanias,33,CORVERA DE ASTURIAS,1.0,Renfe Data,43.5365119,-5.8848823
17000,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,Cercanias,28,MADRID,1.0,Renfe Data,40.4711789,-3.6829524
18000,MADRID-ATOCHA CERCANÍAS,Cercanias,28,MADRID,1.0,Renfe Data,40.4066191,-3.6894391
18001,MADRID-RECOLETOS,Cercanias,28,MADRID,1.0,Renfe Data,40.4233731,-3.690931
18002,MADRID-NUEVOS MINISTERIOS,Cercanias,28,MADRID,1.0,Renfe Data,40.4466271,-3.6923468
18003,MÉNDEZ ÁLVARO P.V.,Cercanias,28,MADRID,1.0,Renfe Data,40.3957768,-3.677844
18004,DELICIAS,Cercanias,28,MADRID,1.0,Renfe Data,40.4004375,-3.6927766
18005,PIRÁMIDES,Cercanias,28,MADRID,1.0,Renfe Data,40.4025341,-3.7113623
18101,SOL,Cercanias,28,MADRID,1.0,Renfe Data,40.4168665,-3.7028765
21010,FERROL,Cercanias,15,FERROL,1.0,Renfe Data,43.4880467,-8.2310664
35001,LEGANÉS,Cercanias,28,LEGANÉS,1.0,Renfe Data,40.328643,-3.7713161
35002,FUENLABRADA,Cercanias,28,FUENLABRADA,1.0,Renfe Data,40.2833784,-3.7994429
35003,HUMANES DE MADRID,Cercanias,28,HUMANES DE MADRID,1.0,Renfe Data,40.2557023,-3.847063
35012,HUMANES,Cercanias,28,HUMANES DE MADRID,1.0,Renfe Data,40.2558101,-3.8287055
37001,MADRID-VILLAVERDE ALTO,Cercanias,28,MADRID,1.0,Renfe Data,40.3415895,-3.7123508
40113,CAZALLA-CONSTANTINA,Cercanias,41,CONSTANTINA,1.0,Renfe Data,37.9328637,-5.704433
40115,PEDROSO,Cercanias,41,PEDROSO (EL),1.0,Renfe Data,37.8373919,-5.7624522
