stop_a_id,stop_b_id,stop_a,stop_b,distance_km,services,route_count,route_ids,source
08004,17000,Segovia Guiomar,Madrid-Chamartín-Clara Campoamor,59.9,"AVANT, AVE, AVLO",21,"0321615100AV006, 0800417000AV008, 1060017000AV008, 1101461200AV006, 1510017000AV006, 1510017000LC112, 1541017000AV006, 1541017000LC112, 1541065300AV006, 1700008004AV008, 1700010600AV008, 1700010600LC112, 1700015100LC112, 1700015410AV006, 1700015410LC112, 1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112, 6120011014AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08004,08240,Segovia Guiomar,Medina del Campo Alta Velocidad,81.9,AVLO,4,"1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08004,10600,Segovia Guiomar,Valladolid,97.0,"AVANT, AVE, AVLO",17,"0321615100AV006, 0800411014AV006, 1060017000AV008, 1101408004AV006, 1101461200AV006, 1510017000AV006, 1510017000LC112, 1541017000AV006, 1541017000LC112, 1541065300AV006, 1700010600AV008, 1700010600LC112, 1700015100LC112, 1700015410AV006, 1700015410LC112, 6120011014AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65400,65402,Tortosa,L'Aldea-Amposta,9.7,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03216,65300,Valencia Joaquin Sorolla,Castelló,65.3,AVE,4,"0321665300AV006, 6000065300AV006, 6530003216AV006, 6530060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03216,65200,Valencia Joaquin Sorolla,Sagunt/Sagunto,25.9,AVE,2,"1541065300AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
10600,11014,Valladolid,Burgos Rosa Manzano,119.4,AVE,8,"0321611014AV006, 0800411014AV006, 1060011014AV006, 1101403216AV006, 1101408004AV006, 1101410600AV006, 1101461200AV006, 6120011014AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
10600,15100,Valladolid,Leon,127.4,AVLO,1,1541017000LCLC,Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
10600,17000,Valladolid,Madrid-Chamartín-Clara Campoamor,156.9,"AVE, AVLO",11,"0321611014AV006, 1060060911AV006, 1060060911LC112, 1101403216AV006, 1510003216AV006, 1510060911AV006, 1541017000LCLC, 1700010600AV006, 1700015100AV006, 6091115100AV006, 6120010600LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
10600,14100,Valladolid,Palencia,44.5,"AVE, AVLO",16,"0321615100AV006, 1060015100AV006, 1510003216AV006, 1510010600AV006, 1510017000AV006, 1510017000LC112, 1510060911AV006, 1541017000AV006, 1541017000LC112, 1541065300AV006, 1700015100AV006, 1700015100LC112, 1700015410AV006, 1700015410LC112, 6091115100AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08223,23004,Vigo Urzaiz,Pontevedra,21.8,"AVE, AVLO",4,"0822317000AV006, 0822317000LC112, 1700008223AV006, 1700008223LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
23008,31400,Vilagarcia de Arousa,Santiago de Compostela,34.8,"AVE, AVLO",3,"0822317000LC112, 1700008223AV006, 1700008223LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37704,50500,Villanueva de Cordoba-Los Pedroches,Cordoba,45.1,"AVE, AVLO",5,"5100360000LC112, 5441360000AV006, 5441360000LC112, 6000051003LC112, 6000054413LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03309,60600,Villena Av,Albacete-Los Llanos,96.2,"AVE, AVLO",10,"1060060911LC112, 1700060911AV006, 1700061200LC112, 6000060911AV006, 6000061200AV006, 6091117000AV006, 6091117000LC112, 6091160000AV006, 6120010600LC112, 6120060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03309,60911,Villena Av,Alicante/Alacant,42.4,"AVE, AVLO",10,"1060060911LC112, 1700060911AV006, 1700061200LC112, 6000060911AV006, 6000061200AV006, 6091117000AV006, 6091117000LC112, 6091160000AV006, 6120010600LC112, 6120060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04040,70600,Zaragoza-Delicias,Calatayud,69.8,"AVANT, AVE",9,"0404070600AV008, 0430760000AV006, 6000004307AV006, 6000071801AV006, 6000074200AV006, 6000078400AV006, 7060004040AV008, 7180160000AV006, 7420060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04040,78400,Zaragoza-Delicias,Lleida-Pirineus,128.5,AVE,16,"0404071801AV006, 0404078400AV006, 0430760000AV006, 0500071801AV006, 5100371801AV006, 5441371801AV006, 6000004307AV006, 6000071801AV006, 6000078400AV006, 7180104040AV006, 7180105000AV006, 7180151003AV006, 7180154413AV006, 7180160000AV006, 7840004040AV006, 7840060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04040,78200,Zaragoza-Delicias,Tardienta,46.9,AVE,4,"0404074200AV006, 6000074200AV006, 7420004040AV006, 7420060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
