COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur,province_name,baseline_year,rent_index
22,Huesca,2020,11321,53,300.0,387.07758620689657,392.89921385036655,87.07758620689657,Huesca,2019,104.01038090016321
22,Huesca,2021,11855,55,300.0,398.1223529411765,408.13293968789543,98.12235294117647,Huesca,2019,108.04313426549183
22,Huesca,2022,12275,56,300.75,404.5385580428902,419.99494908350306,103.7885580428902,Huesca,2019,111.18330882422318
22,Huesca,2023,12821,57,300.0,431.02702702702703,439.4070665314718,131.02702702702703,Huesca,2019,116.3221883604161
22,Huesca,2024,13351,58,328.5681818181818,446.94127516778525,456.5010111602127,118.37309334960344,Huesca,2019,120.8473887915851
23,Jaén,2019,9998,36,261.25,312.22150997151,359.8877775555111,50.97150997150999,Jaén,2019,99.99938246561759
23,Jaén,2020,10547,40,256.71153846153845,310.5625,367.11434531146296,53.85096153846155,Jaén,2019,102.00737595139154
23,Jaén,2021,10995,40,274.74,317.87656462404885,375.01082310140976,43.136564624048845,Jaén,2019,104.20151243474666
23,Jaén,2022,11634,44,277.5,321.9077386692382,384.75322331098505,44.4077386692382,Jaén,2019,106.9085618691781
23,Jaén,2023,12410,46,275.5603448275862,331.55987103174607,392.93319903303785,55.99952620415985,Jaén,2019,109.18147184779734
23,Jaén,2024,13189,50,287.30357142857144,342.5490657346418,412.7144590188794,55.24549430607033,Jaén,2019,114.67794576645069
24,León,2019,18833,45,280.0,357.625,369.0259119630436,77.625,León,2019,99.99889222096947
24,León,2020,19526,47,284.6190476190476,354.66676315948916,379.02007579637404,70.04771554044157,León,2019,102.70711752333797
24,León,2021,20138,51,283.49829497016196,354.95430251202566,388.1510577018572,71.4560075418637,León,2019,105.1814372007309
24,León,2022,20480,49,284.8979591836735,350.0,404.251123046875,65.10204081632651,León,2019,109.54424384111728
24,León,2023,21365,52,290.7155172413793,374.25,413.12131991575006,83.5344827586207,León,2019,111.94789581219686
24,León,2024,22248,54,289.9129027617952,375.45212765957444,435.62837108953613,85.53922489777926,León,2019,118.04687182330329
25,Lleida,2019,20949,88,307.0669642857143,385.79720279720283,384.17905389278724,78.73023851148855,Lleida,2019,99.99975373335084
25,Lleida,2020,21897,92,323.70341474445956,399.71153846153845,396.82340046581726,76.00812371707889,Lleida,2019,103.29100954391619
25,Lleida,2021,22840,93,338.2142857142857,402.9160839160839,409.2224168126095,64.70179820179817,Lleida,2019,106.5184072082382
25,Lleida,2022,23789,97,350.0,408.0,425.35772836184793,58.0,Lleida,2019,110.71834253783328
25,Lleida,2023,24919,102,358.1818181818182,419.25,446.7200529716281,61.06818181818181,Lleida,2019,116.278841421112
25,Lleida,2024,25913,106,375.5722891566265,450.0,463.87473468915215,74.42771084337352,Lleida,2019,120.74411335549797
26,"Rioja, La",2019,12928,28,299.2029702970297,347.2560975609756,403.04602413366337,48.053127263945896,La Rioja,2019,99.99901355505851
26,"Rioja, La",2020,13946,32,300.0,365.4166666666667,419.9987093073283,65.41666666666669,La Rioja,2019,104.20511333763262
26,"Rioja, La",2021,14526,32,305.5,364.03181818181815,425.48216990224427,58.53181818181815,La Rioja,2019,105.56560473942295
26,"Rioja, La",2022,15121,32,319.72222222222223,375.7848837209302,445.38654850869654,56.062661498707996,La Rioja,2019,110.5040437932506
26,"Rioja, La",2023,15924,33,336.12307692307695,395.7044673539519,465.5128108515448,59.58139043087493,La Rioja,2019,115.4975340160141
26,"Rioja, La",2024,16451,34,350.0,402.7162162162162,481.2781593824084,52.716216216216196,La Rioja,2019,119.40904587083696
27,Lugo,2019,11281,40,242.671875,285.9090719644346,316.098395532311,43.23719696443459,Lugo,2019,99.99949241768775
27,Lugo,2020,11876,43,240.08620689655174,292.36805555555554,320.6980464802964,52.2818486590038,Lugo,2019,101.45461767804377
27,Lugo,2021,12380,46,250.0,299.22222222222223,323.95500807754445,49.22222222222223,Lugo,2019,102.48497566515167
27,Lugo,2022,12837,48,250.0,302.4545240503007,338.63986912830103,52.45452405030068,Lugo,2019,107.1306134540655
27,Lugo,2023,13636,47,259.17073170731703,311.554347826087,352.42864476386035,52.383616118769964,Lugo,2019,111.49276961843097
27,Lugo,2024,14415,50,274.73399014778323,331.6035954063604,367.8738813735692,56.86960525857717,Lugo,2019,116.37895646111014
28,Madrid,2019,421129,158,416.15293778801845,594.0686475409836,710.0636147118817,177.9157097529652,Madrid,2019,100.00050907132942
28,Madrid,2020,434762,160,423.053588120006,611.5428619544778,720.250964895736,188.48927383447176,Madrid,2019,101.43522588171932
28,Madrid,2021,450633,160,433.7157335907336,635.2834611376572,734.2731335698894,201.56772754692366,Madrid,2019,103.41001233274505
28,Madrid,2022,464915,162,454.47931555799886,651.7360374919199,765.1048019530451,197.25672193392103,Madrid,2019,107.7521338975643
28,Madrid,2023,484746,163,468.01346604215456,673.9636399165183,791.2327817042327,205.95017387436377,Madrid,2019,111.43182008622267
