COD_PROVINCIA,province_name,latitude,longitude,annual_mean_c,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,start_year,end_year
30,Murcia,38.06419952400006,-1.6719232640515669,14.944217922978648,5.999666666666667,7.180011792452831,9.815666666666669,12.744999999999997,17.1,22.267333333333337,25.68433333333334,25.19333333333333,20.337999999999997,15.78166666666667,9.758,6.955000000000001,6.697374446085674,13.225387681159424,24.404648550724637,15.2979304029304,1995,2024
31,Navarra,42.612760035000036,-1.8300424101099357,12.58873243292572,4.575000000000001,5.641332547169811,8.396666666666668,10.938666666666665,14.712666666666669,18.802333333333333,21.025999999999996,21.238,17.785,13.980666666666668,8.236666666666668,5.293666666666667,5.155727474150664,11.353797101449278,20.37232608695652,13.341216117216113,1995,2024
32,Ourense,42.19269801600004,-7.536621236336593,11.8485371418142,4.357666666666667,5.2118396226415085,7.437333333333335,9.725333333333333,13.006333333333334,17.412000000000003,20.801333333333336,20.99966666666667,17.48,12.809666666666667,7.495999999999999,5.012333333333333,4.849977843426881,10.059931159420293,19.762945652173908,12.597578754578754,1995,2024
33,Asturias,43.27191501000004,-5.8519699980639555,14.126148932286908,9.088333333333333,9.312959905660378,10.781333333333333,12.099333333333332,14.592333333333329,17.482666666666663,19.369333333333334,20.093333333333334,18.519666666666662,16.12666666666667,11.882,9.853666666666667,9.42151033973412,12.495257246376807,18.998072463768118,15.51622710622711,1995,2024
34,Palencia,42.40816813050006,-4.61893106073844,10.490542069720753,2.627333333333334,3.7344693396226427,6.334666666666667,8.794333333333334,12.378999999999998,16.608999999999998,19.08,19.184,15.678666666666667,11.612666666666666,6.1293333333333315,3.296666666666667,3.203895864106352,9.173409420289854,18.30928260869565,11.14541391941392,1995,2024
35,"Palmas, Las",27.956567100000058,-15.60531161349521,20.261722029567427,17.971000000000004,17.678443396226417,18.036333333333335,18.656999999999996,19.624666666666666,20.942999999999998,21.788666666666664,22.675666666666668,22.976999999999997,22.565666666666665,20.85333333333333,19.219,18.307983751846383,18.773923913043483,21.811786231884053,22.136765567765575,1995,2024
36,Pontevedra,42.36343819450008,-8.533924750728751,14.184243475086692,8.986,9.325955188679247,10.880333333333335,12.42666666666667,14.76033333333333,17.616000000000003,20.023000000000003,20.447333333333336,18.570333333333338,15.53133333333333,11.659999999999997,9.669333333333332,9.32713072378139,12.691963768115942,19.38109057971014,15.25693772893773,1995,2024
37,Salamanca,40.763790924000034,-6.022417740995879,12.70550009125752,4.118,5.218856132075471,7.754333333333335,10.344333333333331,14.25,19.36733333333333,22.94033333333333,22.968333333333334,18.633333333333333,13.694333333333331,7.725333333333333,4.9606666666666674,4.752123338257017,10.787655797101454,21.784659420289856,13.354772893772896,1995,2024
38,Santa Cruz de Tenerife,28.295099332000035,-16.620662869507697,20.24143639350247,17.99866666666666,17.621497641509432,17.845000000000002,18.430666666666664,19.453,20.894666666666666,21.944000000000006,22.850666666666665,23.083000000000006,22.526,20.81833333333334,19.273666666666667,18.318426883308717,18.577804347826085,21.907333333333334,22.146659340659333,1995,2024
39,Cantabria,43.13570550750006,-4.264261444415774,9.147036868041614,2.329,3.0128301886792443,5.222666666666669,7.379333333333333,10.621,14.374666666666672,16.36066666666667,16.67066666666667,13.962666666666665,10.621333333333334,5.612,3.209666666666667,2.845583456425406,7.744931159420292,15.817514492753615,10.071443223443223,1995,2024
